Date,Thousands
12/1/00,4299
1/1/01,5594
2/1/01,4381
3/1/01,4449
4/1/01,5200
5/1/01,4485
6/1/01,4155
7/1/01,4760
8/1/01,4144
9/1/01,3947
10/1/01,3860
11/1/01,3146
12/1/01,3078
1/1/02,3855
2/1/02,3172
3/1/02,3466
4/1/02,3775
5/1/02,3555
6/1/02,3257
7/1/02,3680
8/1/02,3499
9/1/02,3301
10/1/02,3800
11/1/02,3177
12/1/02,2638
1/1/03,3940
2/1/03,3149
3/1/03,3008
4/1/03,3624
5/1/03,3215
6/1/03,3276
7/1/03,3510
8/1/03,3268
9/1/03,3035
10/1/03,3447
11/1/03,2931
12/1/03,2863
1/1/04,3604
2/1/04,3207
3/1/04,3338
4/1/04,3927
5/1/04,3658
6/1/04,3298
7/1/04,4152
8/1/04,3633
9/1/04,3709
10/1/04,4068
11/1/04,3060
12/1/04,3341
1/1/05,3775
2/1/05,3603
3/1/05,3816
4/1/05,4614
5/1/05,3813
6/1/05,3911
7/1/05,4474
8/1/05,4159
9/1/05,4225
10/1/05,4519
11/1/05,3895
12/1/05,3738
1/1/06,4462
2/1/06,4079
3/1/06,4448
4/1/06,4993
5/1/06,4414
6/1/06,4260
7/1/06,4377
8/1/06,4520
9/1/06,4506
10/1/06,4692
11/1/06,4198
12/1/06,4010
1/1/07,4711
2/1/07,4256
3/1/07,4573
4/1/07,5028
5/1/07,4523
6/1/07,4580
7/1/07,4718
8/1/07,4613
9/1/07,4501
10/1/07,4488
11/1/07,3884
12/1/07,3843
1/1/08,4372
2/1/08,3844
3/1/08,3919
4/1/08,4269
5/1/08,4002
6/1/08,3638
7/1/08,4026
8/1/08,3674
9/1/08,3229
10/1/08,3465
11/1/08,2744
12/1/08,2660
1/1/09,2838
2/1/09,2620
3/1/09,2445
4/1/09,2570
5/1/09,2411
6/1/09,2372
7/1/09,2338
8/1/09,2362
9/1/09,2452
10/1/09,2529
11/1/09,2132
12/1/09,2138
1/1/10,2783
2/1/10,2391
3/1/10,2612
4/1/10,3428
5/1/10,2922
6/1/10,2705
7/1/10,3163
8/1/10,2962
9/1/10,2795
10/1/10,3200
11/1/10,2733
12/1/10,2529
1/1/11,3008
2/1/11,2886
3/1/11,3097
4/1/11,3434
5/1/11,3050
6/1/11,3175
7/1/11,3671
8/1/11,3257
9/1/11,3530
10/1/11,3608
11/1/11,2876
12/1/11,3117
1/1/12,3742
2/1/12,3327
3/1/12,3802
4/1/12,3988
5/1/12,3722
6/1/12,3758
7/1/12,3877
8/1/12,3779
9/1/12,3569
10/1/12,3942
11/1/12,3381
12/1/12,3189
1/1/13,3838
2/1/13,3785
3/1/13,3860
4/1/13,4215
5/1/13,3849
6/1/13,3860
7/1/13,4121
8/1/13,4043
9/1/13,3905
10/1/13,4304
11/1/13,3690
12/1/13,3507
1/1/14,3966
2/1/14,3941
3/1/14,4177
4/1/14,4816
5/1/14,4639
6/1/14,4717
7/1/14,5062
8/1/14,5076
9/1/14,4623
10/1/14,5098
11/1/14,4463
12/1/14,4373
1/1/15,4988
2/1/15,4910
3/1/15,5048
4/1/15,5800
5/1/15,5450
6/1/15,5308
7/1/15,6142
8/1/15,5568
9/1/15,5499
10/1/15,5597
11/1/15,4869
12/1/15,4984
